Conference,Acronym,Year,Topic,Papers(5Y),Citations(5Y),h5
IEEE Conference on Decision and Control,CDC,2025,General,,,48.0 (2025) [GS]
IEEE International Conference on Digital Health,CDH,2025,General,,,12.0 (2025) [GS]
IEEE Congress on Evolutionary Computation,CEC,2025,General,,,94.0 (2025) [GS]
International Conference on Enterprise Information Systems (ICEIS),CENTERIS,2025,General,,,23.0 (2025) [GS]
ACM International Conference on Computing Frontiers,CF,2025,General,,,20.0 (2025) [GS]
International Symposium on Code Generation and Optimization,CGO,2025,General,,,25.0 (2025) [GS]
Conference on Human Information Interaction and Retrieval,CHIIR,2025,General,,,29.0 (2025) [GS]
Iberoamerican Congress on Pattern Recognition (CIARP),CIARP,2025,General,,,7.0 (2025) [GS]
"IEEE Custom Integrated Circuits Conference, CICC",CICC,2025,General,,,30.0 (2025) [GS]
IEEE Conference on Computational Intelligence and Games (CIG),CIG,2025,General,,,27.0 (2025) [GS]
ACM International Conference on Information and Knowledge Management,CIKM,2025,General,,,96.0 (2025) [GS]
"International Conference on Complex, Intelligent and Software Intensive Systems",CISIS,2025,General,,,15.0 (2025) [GS]
Iberian Conference on Information Systems and Technologies,CISTI,2025,General,,,24.0 (2025) [GS]
"International Conference on Computer, Information and Telecommunication Systems",CITS,2025,General,,,14.0 (2025) [GS]
International Conference on Cloud Computing and Services Science (CLOSER),CLOSER,2025,General,,,17.0 (2025) [GS]
IEEE International Conference on Cloud Computing Technology and Science (CloudCom),CloudCom,2025,General,,,9.0 (2025) [GS]
IEEE International Conference on Cluster Computing,CLUSTER,2025,General,,,24.0 (2025) [GS]
Congresso Nacional de Matemática Aplicada e Computacional,CNMAC,2025,General,515,44,2 (2025) [CR]
IEEE Conference on Communications and Network Security,CNS,2025,General,,,21.0 (2025) [GS]
International Conference on Computing and Combinatorics,COCOON,2025,General,,,11.0 (2025) [GS]
ACM Conference on Data and Application Security and Privacy,CODASPY,2025,General,,,24.0 (2025) [GS]
IEEE Conference on Computational Intelligence and Games (CIG),COG,2025,General,,,27.0 (2025) [GS]
Annual Meeting of the Cognitive Science Society,COGSCI,2025,General,,,36.0 (2025) [GS]
International Conference on Computational Linguistics (COLING),COLING,2025,General,,,81.0 (2025) [GS]
"International Conference on Collaborative Computing: Networking, Applications and Worksharing (CollaborateCom)",CollaborateCom,2025,General,,,9.0 (2025) [GS]
Conference on Learning Theory (COLT),COLT,2025,General,,,74.0 (2025) [GS]
IEEE Annual Computer Software and Applications Conference (COMPSAC),COMPSAC,2025,General,,,30.0 (2025) [GS]
International Conference on Concurrency Theory (CONCUR),CONCUR,2025,General,,,18.0 (2025) [GS]
ACM Conference on Emerging Network Experiment and Technology (CoNEXT),CONEXT,2025,General,,,29.0 (2025) [GS]
International Conference in Software Engineering Research and Innovation,CONISOFT,2025,General,,,10.0 (2025) [GS]
Conference on Computational Natural Language Learning (CoNLL),CoNLL,2025,General,,,30.0 (2025) [GS]
CONTECSI-International Conference on Information Systems and Technology Management Virtual,CONTECSI,2025,General,,,2.0 (2025) [GS]
Conference on Robot Learning,CoRL,2025,General,,,107.0 (2025) [GS]
International Conference on Principles and Practice of Constraint Programming,CP,2025,General,,,20.0 (2025) [GS]
ACM SIGPLAN International Conference on Certified Programs and Proofs,CPP,2025,General,,,23.0 (2025) [GS]
Canadian Conference on Computer and Robot Vision (CRV),CRV,2025,General,,,17.0 (2025) [GS]
International Cryptology Conference (CRYPTO),CRYPTO,2025,General,,,66.0 (2025) [GS]
International Conference on Computer-Supported Collaborative Learning,CSCL,2025,General,,,7.0 (2025) [GS]
IEEE Conference on Standards for Communications and Networking,CSCN,2025,General,,,12.0 (2025) [GS]
ACM Conference on Computer-Supported Cooperative Work & Social Computing,CSCW,2025,General,,,27.0 (2025) [GS]
International Conference on Computer Supported Education (CSEDU),CSEDU,2025,General,,,25.0 (2025) [GS]
IEEE-CS Conference on Software Engineering Education and Training (CSEE&T),CSEE&T,2025,General,,,12.0 (2025) [GS]
IEEE Computer Security Foundations Symposium,CSF,2025,General,,,22.0 (2025) [GS]
Conference for Computer Science Logic (CSL),CSL,2025,General,,,19.0 (2025) [GS]
International Symposium on Communication Systems Networks and Digital Signal Processing,CSNDSP,2025,General,,,15.0 (2025) [GS]
Cyber Security in Networking Conference,CSNet,2025,General,,,12.0 (2025) [GS]
IEEE/CVF Computer Society Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),CVPRW,2025,General,,,117.0 (2025) [GS]
Asia and South Pacific Design Automation Conference (ASP-DAC),DAC,2025,General,,,34.0 (2025) [GS]
International Conference on Database Systems for Advanced Applications,DASFAA,2025,General,,,23.0 (2025) [GS]
"Data Compression Conference, DCC",DCC,2025,General,,,21.0 (2025) [GS]
IEEE International Conference on Distributed Computing in Sensor Systems,DCOSS,2025,General,,,22.0 (2025) [GS]
IEEE International Symposium on Design and Diagnostics of Electronic Circuits & Systems,DDECS,2025,General,,,12.0 (2025) [GS]
Annual International Conference on Digital Government Research,DGO,2025,General,,,24.0 (2025) [GS]
International Symposium on Distributed Computing (DISC),DISC,2025,General,,,23.0 (2025) [GS]
International Workshop on Description Logics,DL,2025,General,,,17.0 (2025) [GS]
ACM Symposium on Document Engineering,DOCENG,2025,General,,,14.0 (2025) [GS]
"IEEE/ACM International Symposium on Distributed Simulation and Real-Time Applications, DR-RT",DS-RT,2025,General,,,14.0 (2025) [GS]
IEEE International Conference on Data Science and Advanced Analytics (DSAA),DSAA,2025,General,,,27.0 (2025) [GS]
IEEE Conference on Dependable and Secure Computing,DSC,2025,General,,,17.0 (2025) [GS]
"Euromicro Conference on Digital System Design, Architectures, Methods and Tools, DSD",DSD,2025,General,,,20.0 (2025) [GS]
IEEE Symposium on New Frontiers in Dynamic Spectrum Access Networks,DySPAN,2025,General,,,12.0 (2025) [GS]
Conference of the European Chapter of the Association for Computational Linguistics (EACL),EACL,2025,General,,,77.0 (2025) [GS]
International Conference on Evaluation and Assessment in Software Engineering,EASE,2025,General,,,31.0 (2025) [GS]
Euro American Conference on Telematics and Information Systems,EATIS,2025,General,,,6.0 (2025) [GS]
European Conference on Artificial Intelligence (ECAI),ECAI,2025,General,,,44.0 (2025) [GS]
European Conference on Computer Vision,ECCV,2025,General,,,262.0 (2025) [GS]
