Conference,Acronym,Year,Topic,Papers(5Y),Citations(5Y),h5,h5_source,SBC_Class,Google_Scholar_ID,DBLP_ID
International Conference on Language Resources and Evaluation (LREC),LREC,2025,General,,,68,(2025) [GS],Top10,qf6JB6yXg1UJ,lrec
International Conference on Theory and Applications of Cryptographic Techniques (EUROCRYPT),EUROCRYPT,2025,General,,,66,(2025) [GS],Top10,fsZsNTm7Eh8J,eurocrypt
International Cryptology Conference (CRYPTO),CRYPTO,2025,General,,,66,(2025) [GS],Top10,nqcB6RwzhMQJ,crypto
ACM SIGCOMM Conference,SIGCOMM,2025,General,,,64,(2025) [GS],Top10,xd8jQKOw5ikJ,sigcomm
International Symposium on Computer Architecture (ISCA),ISCA,2025,General,,,64,(2025) [GS],Top10,-RiAttlQ-g0J,isca
IEEE Global Communications Conference,GLOBECOM,2025,General,,,64,(2025) [GS],Top10,pZS97tVVUCgJ,globecom
International Joint Conference on Neural Networks,IJCNN,2025,General,,,64.0,(2025) [GS],Top10,-t1SY74YlYcJ,ijcnn
IEEE/CVF International Conference on Computer Vision Workshops (ICCVW),ICCVW,2025,General,,,63,(2025) [GS],Top10,1h7Rot6-J5EJ,iccvw
ACM Symposium on Theory of Computing,STOC,2025,General,,,63,(2025) [GS],Top10,t-147h7Cn5cJ,stoc
"AAAI/ACM Conference on AI, Ethics, and Society",AIES,2025,General,,,62,(2025) [GS],,,
IEEE International Symposium on High Performance Computer Architecture,HPCA,2025,General,,,59,(2025) [GS],Top10,oRj0q6yVVdsJ,hpca
IEEE/ACM International Symposium on Microarchitecture,MICRO,2025,General,,,58,(2025) [GS],Top10,UpKDzfQ1ak8J,micro
IEEE/ACM International Conference on Automated Software Engineering (ASE),ASE,2025,General,,,57,(2025) [GS],,,
British Machine Vision Conference (BMVC),BMVC,2025,General,,,57,(2025) [GS],Geral,T_DfB2ikUbwJ,bmvc
USENIX Annual Technical Conference,ATC,2025,General,,,57,(2025) [GS],Geral,UoM6MOnWKE8J,atc
ACM Conference on Recommender Systems,RECSYS,2025,General,,,57,(2025) [GS],Top10,-_BzfdwqRVsJ,recsys
International Conference on Pattern Recognition,ICPR,2025,General,,,56.0,(2025) [GS],Geral,cVHg_1PrXPkJ,icpr
International Conference on Web and Social Media,ICWSM,2025,General,,,56.0,(2025) [GS],Top10,eH4qSzdbVtwJ,icwsm
International Conference on 3D Vision (3DV),3DV,2025,General,,,56,(2025) [GS],Geral,_QeiDtrgUSoJ,3dim
IEEE International Conference on Image Processing (ICIP),ICIP,2025,General,,,55,(2025) [GS],Geral,a9ZSGA40nccJ,icip
USENIX Symposium on Operating Systems Design and Implementation,OSDI,2025,General,,,55,(2025) [GS],Geral,nZZ8G3Einp0J,osdi
IEEE Annual Symposium on Foundations of Computer Science,FOCS,2025,General,,,55.0,(2025) [GS],Top10,QUcbc1kDDcEJ,focs
IEEE Intelligent Transportation Systems Conference,ITSC,2025,General,,,55.0,(2025) [GS],Geral,F_tKvHBbkU8J,itsc
USENIX Annual Technical Conference,USENIX,2025,General,,,55.0,(2025) [GS],Geral,UoM6MOnWKE8J,usenix
International Conference on Autonomous Agents and Multiagent Systems,AAMAS,2025,General,,,54,(2025) [GS],Top10,yWxsQWGuQ-sJ,atal
IEEE International Conference on Big Data,BIGDATA,2025,General,,,54.0,(2025) [GS],Geral,5qcbaE0D5owJ,bigdata
ACM Symposium on User Interface Software and Technology,UIST,2025,General,,,53,(2025) [GS],Top10,vl9z3BzoXrgJ,uist
Hawaii International Conference on System Sciences,HICSS,2025,General,,,53,(2025) [GS],Top20,6wBd043QhTIJ,hicss
IEEE International Symposium on Biomedical Imaging: From Nano to Macro,ISBI,2025,General,,,52,(2025) [GS],Top20,BvOzx47YdqIJ,isbi
ACM European Conference on Computer Systems,EUROSYS,2025,General,,,52,(2025) [GS],Top10,8LhhnAnPYO8J,eurosys
Asian Conference on Computer Vision (ACCV),ACCV,2025,General,,,52,(2025) [GS],Geral,C6G2a_KY88AJ,accv
ACM/IEEE International Conference on Human Robot Interaction,HRI,2025,General,,,52,(2025) [GS],Top10,D6qw-B7Hrk0J,
